sex,age,age_month,L_weight,M_weight,S_weight
2,,150,-0.0326,45.8261,0.1756
2,,151,-0.0391,46.1391,0.1743
2,,152,-0.0457,46.4522,0.173
2,,153,-0.0523,46.7652,0.1717
2,,154,-0.0589,47.0782,0.1705
2,,155,-0.0655,47.3912,0.1693
2,13,156,-0.0745,47.6564,0.1679
2,,157,-0.0837,47.9216,0.1666
2,,158,-0.0929,48.1868,0.1653
2,,159,-0.1021,48.4519,0.164
2,,160,-0.1115,48.7171,0.1627
2,,161,-0.1208,48.9822,0.1614
2,,162,-0.129,49.2069,0.1603
2,,163,-0.1372,49.4315,0.1591
2,,164,-0.1455,49.6562,0.158
2,,165,-0.1538,49.8809,0.1568
2,,166,-0.1621,50.1055,0.1557
2,,167,-0.1705,50.3302,0.1546
2,14,168,-0.1734,50.5233,0.1536
2,,169,-0.1763,50.7164,0.1525
2,,170,-0.1791,50.9095,0.1515
2,,171,-0.1819,51.1026,0.1505
2,,172,-0.1846,51.2957,0.1495
2,,173,-0.1873,51.4888,0.1485
2,,174,-0.1869,51.6479,0.1476
2,,175,-0.1865,51.807,0.1467
2,,176,-0.186,51.966,0.1458
2,,177,-0.1854,52.125,0.1449
2,,178,-0.1847,52.284,0.144
2,,179,-0.1839,52.443,0.1431
2,15,180,-0.1846,52.5631,0.1424
2,,181,-0.1852,52.6832,0.1417
2,,182,-0.1857,52.8033,0.1409
2,,183,-0.1862,52.9233,0.1402
2,,184,-0.1867,53.0434,0.1395
2,,185,-0.1871,53.1634,0.1388
2,,186,-0.1901,53.2482,0.1382
2,,187,-0.193,53.3331,0.1377
2,,188,-0.196,53.4179,0.1371
2,,189,-0.199,53.5027,0.1366
2,,190,-0.2019,53.5875,0.1361
2,,191,-0.2049,53.6723,0.1355
2,16,192,-0.21,53.7253,0.1351
2,,193,-0.2151,53.7783,0.1346
2,,194,-0.2202,53.8313,0.1342
2,,195,-0.2253,53.8843,0.1338
2,,196,-0.2305,53.9373,0.1334
2,,197,-0.2357,53.9903,0.1329
2,,198,-0.2499,54.0055,0.1326
2,,199,-0.2643,54.0208,0.1323
2,,200,-0.2788,54.036,0.1319
2,,201,-0.2934,54.0512,0.1316
2,,202,-0.3081,54.0663,0.1312
2,,203,-0.323,54.0815,0.1309
2,17,204,-0.3423,54.0797,0.1306
2,,205,-0.3619,54.0778,0.1303
2,,206,-0.3816,54.0759,0.13
2,,207,-0.4016,54.0739,0.1298
2,,208,-0.4217,54.0719,0.1295
2,,209,-0.4421,54.0698,0.1292
2,,210,-0.4627,54.0634,0.1289
2,,211,-0.4836,54.057,0.1286
2,,212,-0.5046,54.0505,0.1284
2,,213,-0.5259,54.0439,0.1281
2,,214,-0.5474,54.0373,0.1278
2,,215,-0.5691,54.0306,0.1275
2,18,216,-0.5908,54.0217,0.1273
2,,217,-0.6128,54.0126,0.127
2,,218,-0.6351,54.0036,0.1267
2,,219,-0.6575,53.9944,0.1264
2,,220,-0.6801,53.9852,0.1261
2,,221,-0.703,53.976,0.1258
2,,222,-0.7262,53.9649,0.1256
2,,223,-0.7497,53.9539,0.1253
2,,224,-0.7734,53.9427,0.125
2,,225,-0.7973,53.9315,0.1247
2,,226,-0.8215,53.9203,0.1244
2,,227,-0.8458,53.909,0.1241
